Price,Beds,Baths,Toilets
4000000,4,4,5
5000000,4,4,5
7500000,5,5,6
7000000,5,5,6
2700000,2,2,3
8000000,4,4,5
5200000,4,4,5
6000000,4,4,5
6000000,4,4,5
7000000,4,4,5
700000000,6,6,7
8000000,4,4,5
9000000,4,4,5
4500000,4,4,5
8500000,4,4,5
6000000,4,4,5
8000000,4,4,5
8000000,4,4,5
5000000,4,4,5
6500000,5,5,6
9000000,4,4,4
4500000,2,2,3
4500000,4,4,5
4000000,4,5,6
5000000,4,4,5
7500000,5,5,6
7000000,5,5,6
2700000,2,2,3
8000000,4,4,5
5200000,4,4,5
6000000,4,4,5
6000000,4,4,5
7000000,4,4,5
250000000,4,4,5
8000000,4,4,5
9000000,4,4,5
4500000,4,4,5
8500000,4,4,5
6000000,4,4,5
8000000,4,4,5
8000000,4,4,5
5000000,4,4,5
6500000,5,5,6
9000000,4,4,4
4500000,2,2,3
4500000,4,4,5
4000000,4,5,6
5000000,4,4,5
7500000,5,5,6
7000000,5,5,6
2700000,2,2,3
8000000,4,4,5
5200000,4,4,5
6000000,4,4,5
6000000,4,4,5
7000000,4,4,5
900000000,5,5,6
8000000,4,4,5
9000000,4,4,5
4500000,4,4,5
8500000,4,4,5
6000000,4,4,5
8000000,4,4,5
8000000,4,4,5
5000000,4,4,5
6500000,5,5,6
9000000,4,4,4
4500000,2,2,3
4500000,4,4,5
5500000,4,5,6
5000000,4,4,5
7500000,5,5,6
7000000,5,5,6
2700000,2,2,3
8000000,4,4,5
5200000,4,4,5
6000000,4,4,5
6000000,4,4,5
7000000,4,4,5
13000000,2,2,3
8000000,4,4,5
9000000,4,4,5
4500000,4,4,5
8500000,4,4,5
6000000,4,4,5
8000000,4,4,5
8000000,4,4,5
5000000,4,4,5
6500000,5,5,6
9000000,4,4,4
4500000,2,2,3
4500000,4,4,5
4000000,4,4,5
5000000,4,4,5
7500000,5,5,6
7000000,5,5,6
2700000,2,2,3
8000000,4,4,5
5200000,4,4,5
6000000,4,4,5
6000000,4,4,5
7000000,4,4,5
120000000,4,0,0
8000000,4,4,5
9000000,4,4,5
4500000,4,4,5
8500000,4,4,5
6000000,4,4,5
8000000,4,4,5
8000000,4,4,5
5000000,4,4,5
6500000,5,5,6
9000000,4,4,4
4500000,2,2,3
4500000,4,4,5
4000000,4,4,5
5000000,4,4,5
7500000,5,5,6
7000000,5,5,6
2700000,2,2,3
8000000,4,4,5
5200000,4,4,5
6000000,4,4,5
6000000,4,4,5
7000000,4,4,5
9000000,0,0,0
8000000,4,4,5
9000000,4,4,5
4500000,4,4,5
8500000,4,4,5
6000000,4,4,5
8000000,4,4,5
8000000,4,4,5
5000000,4,4,5
6500000,5,5,6
9000000,4,4,4
4500000,2,2,3
4500000,4,4,5
5500000,4,5,6
5000000,4,4,5
7500000,5,5,6
7000000,5,5,6
2700000,2,2,3
8000000,4,4,5
5200000,4,4,5
6000000,4,4,5
6000000,4,4,5
7000000,4,4,5
100000000,4,0,0
8000000,4,4,5
9000000,4,4,5
4500000,4,4,5
8500000,4,4,5
6000000,4,4,5
8000000,4,4,5
8000000,4,4,5
5000000,4,4,5
6500000,5,5,6
9000000,4,4,4
4500000,2,2,3
4500000,4,4,5
5500000,4,5,6
5000000,4,4,5
7500000,5,5,6
7000000,5,5,6
2700000,2,2,3
8000000,4,4,5
5200000,4,4,5
6000000,4,4,5
6000000,4,4,5
7000000,4,4,5
25000000,4,4,5
8000000,4,4,5
9000000,4,4,5
4500000,4,4,5
8500000,4,4,5
6000000,4,4,5
8000000,4,4,5
8000000,4,4,5
5000000,4,4,5
6500000,5,5,6
9000000,4,4,4
4500000,2,2,3
4500000,4,4,5
4000000,4,5,6
5000000,4,4,5
7500000,5,5,6
7000000,5,5,6
2700000,2,2,3
8000000,4,4,5
5200000,4,4,5
6000000,4,4,5
6000000,4,4,5
7000000,4,4,5
150000000,5,5,6
8000000,4,4,5
9000000,4,4,5
4500000,4,4,5
8500000,4,4,5
6000000,4,4,5
8000000,4,4,5
8000000,4,4,5
5000000,4,4,5
6500000,5,5,6
9000000,4,4,4
4500000,2,2,3
4500000,4,4,5
5500000,4,5,6
5000000,4,4,5
7500000,5,5,6
7000000,5,5,6
2700000,2,2,3
8000000,4,4,5
5200000,4,4,5
6000000,4,4,5
6000000,4,4,5
7000000,4,4,5
1700000,3,3,4
8000000,4,4,5
9000000,4,4,5
4500000,4,4,5
8500000,4,4,5
6000000,4,4,5
8000000,4,4,5
8000000,4,4,5
5000000,4,4,5
6500000,5,5,6
9000000,4,4,4
