Price,Details
"
 ₦ 4,000,000/year 
Sponsored
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 5,000,000 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 7,500,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 7,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 2,700,000 
Premium Gold
","
2 beds
2 baths
3 Toilets
"
"
 ₦ 8,000,000 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 5,200,000 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 6,000,000/year 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 6,000,000/year 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 7,000,000/year 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 700,000,000 
Sponsored
","
6 beds
6 baths
7 Toilets
"
"
 ₦ 8,000,000/year 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 9,000,000/year 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 4,500,000/year 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 8,500,000/year 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 6,000,000/year 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 8,000,000/year 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
NaN,NaN
"
 ₦ 5,000,000 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 6,500,000/year 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 9,000,000/year 
Premium Gold
","
4 beds
4 baths
4 Toilets
"
"
 ₦ 4,500,000/year 
Premium Gold
","
2 beds
2 baths
3 Toilets
"
"
 ₦ 4,500,000/year 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 4,000,000/year 
Sponsored
","
4 beds
5 baths
6 Toilets
"
"
 ₦ 5,000,000 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 7,500,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 7,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 2,700,000 
Premium Gold
","
2 beds
2 baths
3 Toilets
"
"
 ₦ 8,000,000 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 5,200,000 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 6,000,000/year 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 6,000,000/year 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 7,000,000/year 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 250,000,000 
Sponsored
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 8,000,000/year 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 9,000,000/year 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 4,500,000/year 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 8,500,000/year 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 6,000,000/year 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 8,000,000/year 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
NaN,NaN
"
 ₦ 5,000,000 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 6,500,000/year 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 9,000,000/year 
Premium Gold
","
4 beds
4 baths
4 Toilets
"
"
 ₦ 4,500,000/year 
Premium Gold
","
2 beds
2 baths
3 Toilets
"
"
 ₦ 4,500,000/year 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 4,000,000/year 
Sponsored
","
4 beds
5 baths
6 Toilets
"
"
 ₦ 5,000,000 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 7,500,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 7,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 2,700,000 
Premium Gold
","
2 beds
2 baths
3 Toilets
"
"
 ₦ 8,000,000 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 5,200,000 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 6,000,000/year 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 6,000,000/year 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 7,000,000/year 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 900,000,000 
Sponsored
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 8,000,000/year 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 9,000,000/year 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 4,500,000/year 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 8,500,000/year 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 6,000,000/year 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 8,000,000/year 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
NaN,NaN
"
 ₦ 5,000,000 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
